303	Chandigarh	India	914374	30.7343	76.7933
304	Madurai	India	909988	9.93333	78.1167
305	Krasnoyarsk	Russian Federation	907460	56.0091	92.8628
306	Huaibei	China	903039	33.9744	116.792
307	Cochabamba	Bolivia	900440	-17.3833	-66.15
308	Guwahati	India	899132	26.1833	91.7333
309	Aba	Nigeria	897613	5.10658	7.36667
310	San Jose	United States	897460	37.3394	-121.894
311	Bulawayo	Zimbabwe	897249	-20.15	28.5833
312	Pingdingshan	China	889675	33.7385	113.301
313	Detroit	United States	884941	42.3314	-83.0458
314	Gwalior	India	882551	26.2236	78.1792
315	Qiqihar	China	882364	47.3408	123.967
316	Klang	Malaysia	879887	3.03333	101.45
317	Konya	Turkey	876004	37.8714	32.4846
318	Mbuji-Mayi	Congo-Kinshasa	874974	-6.15	23.6
319	Vijayawada	India	874684	16.5167	80.6167
320	Ottawa	Canada	874433	45.4167	-75.7
321	Maisuru	India	868385	12.3072	76.6497
322	Wenzhou	China	865672	27.9994	120.667
323	Saratov	Russian Federation	863734	51.5406	46.0086
324	Ogbomosho	Nigeria	861303	8.13333	4.26667
325	Ahvaz	Iran	854980	31.3203	48.6693
326	Tegucigalpa	Honduras	850961	14.1	-87.2167
327	Turin	Italy	846489	45.05	7.66667
328	Naucalpan	Mexico	846222	19.4794	-99.2383
329	Ulaanbaatar	Mongolia	844786	47.9167	106.917
330	Arequipa	Peru	844000	-16.3989	-71.535
331	Voronezh	Russian Federation	840590	51.672	39.1843
332	Padang	Indonesia	840458	-0.953154	100.368
333	Hubli	India	840285	15.35	75.1667
334	Lvov	Ukraine	830000	49.8407	24.0305
335	Tucuman	Argentina	828402	-26.8241	-65.2226
336	Tangier	Morocco	825316	35.7806	-5.81365
337	Edmonton	Canada	822319	53.55	-113.5
338	Duque de Caxias	Brazil	818339	-22.7903	-43.325
339	Jos	Nigeria	816876	9.91667	8.9
340	Ilorin	Nigeria	814246	8.5	4.55
341	La Paz	Bolivia	812819	-16.5	-68.15
342	Barquisimeto	Venezuela	809564	10.0739	-69.3228
343	Oslo	Norway	808690	59.9167	10.75
344	Nanning	China	803788	22.8167	108.317
345	Johor Bahru	Malaysia	802525	1.4655	103.758
346	Mombasa	Kenya	799727	-4.05	39.6667
347	Asgabat	Turkmenistan	797900	37.95	58.3833
348	Jacksonville	United States	797557	30.3319	-81.6558
349	Zaporizhzhya	Ukraine	796213	47.8229	35.1903
350	Marseille	France	792823	43.2854	5.37606
351	Kathmandu	Nepal	790612	27.7167	85.3167
352	Jalandhar	India	785234	31.3256	75.5792
353	Thiruvananthapuram	India	784223	8.50694	76.9569
354	Sakai	Japan	782347	34.5833	135.467
355	Anyang	China	781129	36.0994	114.329
356	Selam	India	778462	11.65	78.1667
357	Tiruchchirappalli	India	775551	10.805	78.6856
358	Hohhot	China	774477	40.8106	111.652
359	Niamey	Niger	774245	13.6667	1.78333
360	Niamey	Niger	774245	13.5167	2.11667
361	Indianapolis	United States	773283	39.7683	-86.1581
362	Valencia	Spain	769897	39.4667	-0.366667
363	Bogor	Indonesia	769328	-6.59444	106.789
364	Xining	China	767531	36.6167	101.767
365	Kermanshah	Iran	766742	34.3142	47.065
366	Liuzhou	China	763168	24.3126	109.389
367	Kota	India	763141	25.1833	75.8333
368	Natal	Brazil	763057	-5.78333	-35.2167
369	Bhubaneswar	India	762307	20.2333	85.8333
370	Qinhuangdao	China	759718	39.9317	119.588
371	Hengyang	China	759602	26.8881	112.615
372	Antalya	Turkey	758603	36.9081	30.6956
373	Cebu	Philippines	758597	10.3111	123.892
